chip,rom,ts,temperature,humidity
,,2016-02-12T15:08:40.173Z,20.70,70.25
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:08:52.985Z,20.44,
,,2016-02-12T15:08:53.055Z,20.67,70.28
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:09:04.101Z,85.06,
,,2016-02-12T15:09:04.171Z,20.66,70.28
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:09:16.573Z,20.44,
,,2016-02-12T15:09:16.643Z,20.69,70.25
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:09:27.693Z,85.06,
,,2016-02-12T15:09:27.762Z,20.66,70.25
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:09:40.160Z,20.44,
,,2016-02-12T15:09:40.234Z,20.72,70.23
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:09:51.280Z,85.06,
,,2016-02-12T15:09:51.350Z,20.67,70.22
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:10:03.752Z,20.44,
,,2016-02-12T15:10:03.822Z,20.70,70.20
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:10:14.868Z,85.12,
,,2016-02-12T15:10:14.938Z,20.67,70.19
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:10:27.340Z,20.44,
,,2016-02-12T15:10:27.409Z,20.71,70.17
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:10:38.460Z,85.00,
,,2016-02-12T15:10:38.529Z,20.67,70.17
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:42:12.301Z,20.62,
,,2016-02-12T15:42:12.371Z,20.85,70.03
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:42:23.421Z,85.19,
,,2016-02-12T15:42:23.491Z,20.83,70.03
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:42:35.889Z,20.62,
,,2016-02-12T15:42:35.959Z,20.87,69.95
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T15:42:47.009Z,85.25,
,,2016-02-12T15:42:47.079Z,20.84,69.97
,,2016-02-12T15:54:49.903Z,20.92,69.82
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:55:22.083Z,20.69,
,,2016-02-12T15:55:22.153Z,20.94,69.74
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:57:08.254Z,20.69,
,,2016-02-12T15:57:08.324Z,20.96,69.77
,,2016-02-12T15:58:02.077Z,21.00,69.72
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:58:14.888Z,20.75,
,,2016-02-12T15:58:14.958Z,20.97,69.69
,,2016-02-12T15:59:32.508Z,21.02,69.70
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T15:59:45.319Z,20.75,
,,2016-02-12T15:59:45.389Z,20.97,69.69
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:06:11.310Z,20.75,
,,2016-02-12T16:06:11.380Z,21.01,69.64
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:06:22.426Z,84.50,
,,2016-02-12T16:06:22.495Z,21.01,69.67
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:06:34.897Z,20.75,
,,2016-02-12T16:06:34.967Z,21.05,69.70
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:06:46.018Z,83.31,
,,2016-02-12T16:06:46.087Z,21.02,69.75
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:06:58.489Z,20.75,
,,2016-02-12T16:06:58.559Z,21.06,69.73
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:07:09.605Z,83.37,
,,2016-02-12T16:07:09.675Z,21.02,69.78
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:07:22.077Z,20.81,
,,2016-02-12T16:07:22.146Z,21.06,69.67
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:07:33.197Z,80.19,
,,2016-02-12T16:07:33.266Z,21.02,69.61
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:07:45.669Z,20.75,
,,2016-02-12T16:07:45.738Z,21.07,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:07:56.784Z,85.37,
,,2016-02-12T16:07:56.854Z,21.02,69.62
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:08:09.256Z,20.75,
,,2016-02-12T16:08:09.326Z,21.06,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:08:20.376Z,60.25,
,,2016-02-12T16:08:20.446Z,21.02,69.62
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:08:32.848Z,20.81,
,,2016-02-12T16:08:32.917Z,21.06,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:08:43.964Z,85.31,
,,2016-02-12T16:08:44.033Z,21.03,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:08:56.435Z,20.81,
,,2016-02-12T16:08:56.505Z,21.06,69.56
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:09:07.556Z,85.25,
,,2016-02-12T16:09:07.625Z,21.02,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:09:20.023Z,20.81,
,,2016-02-12T16:09:20.093Z,21.06,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:09:31.143Z,85.19,
,,2016-02-12T16:09:31.213Z,21.02,69.67
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:09:43.615Z,20.81,
,,2016-02-12T16:09:43.684Z,21.05,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:09:54.731Z,85.25,
,,2016-02-12T16:09:54.800Z,21.01,69.56
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:10:07.202Z,20.81,
,,2016-02-12T16:10:07.272Z,21.06,69.51
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:10:18.322Z,85.25,
,,2016-02-12T16:10:18.392Z,21.02,69.50
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:10:30.794Z,20.81,
,,2016-02-12T16:10:30.864Z,21.08,69.56
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:10:41.910Z,85.00,
,,2016-02-12T16:10:41.980Z,21.03,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:10:54.382Z,20.81,
,,2016-02-12T16:10:54.451Z,21.07,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:11:05.502Z,75.00,
,,2016-02-12T16:11:05.571Z,21.02,69.78
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:11:17.973Z,20.81,
,,2016-02-12T16:11:18.043Z,21.08,69.70
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:11:29.089Z,85.25,
,,2016-02-12T16:11:29.159Z,21.03,69.73
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:11:41.561Z,20.81,
,,2016-02-12T16:11:41.631Z,21.07,69.76
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:11:52.681Z,81.12,
,,2016-02-12T16:11:52.751Z,21.04,69.67
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:12:05.153Z,20.81,
,,2016-02-12T16:12:05.222Z,21.08,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:12:16.269Z,73.19,
,,2016-02-12T16:12:16.338Z,21.04,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:12:28.740Z,20.81,
,,2016-02-12T16:12:28.812Z,21.08,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:12:39.860Z,85.06,
,,2016-02-12T16:12:39.930Z,21.05,69.96
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:12:52.328Z,20.81,
,,2016-02-12T16:12:52.398Z,21.10,70.58
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:13:03.448Z,71.00,
,,2016-02-12T16:13:03.518Z,21.05,70.35
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:13:15.920Z,20.81,
,,2016-02-12T16:13:15.989Z,21.09,69.90
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:13:27.036Z,71.56,
,,2016-02-12T16:13:27.105Z,21.06,69.76
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:13:39.507Z,20.81,
,,2016-02-12T16:13:39.577Z,21.10,69.68
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:13:50.627Z,60.38,
,,2016-02-12T16:13:50.697Z,21.06,69.65
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:14:03.099Z,20.81,
,,2016-02-12T16:14:03.169Z,21.10,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:14:14.215Z,68.25,
,,2016-02-12T16:14:14.285Z,21.04,69.68
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:14:26.687Z,20.81,
,,2016-02-12T16:14:26.756Z,21.10,69.65
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:14:37.807Z,77.44,
,,2016-02-12T16:14:37.876Z,21.06,69.62
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:14:50.278Z,20.81,
,,2016-02-12T16:14:50.348Z,21.09,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:15:01.394Z,80.75,
,,2016-02-12T16:15:01.464Z,21.05,69.70
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:15:13.866Z,20.81,
,,2016-02-12T16:15:13.936Z,21.09,69.74
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:15:24.986Z,83.31,
,,2016-02-12T16:15:25.056Z,21.04,69.73
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:15:37.453Z,85.00,
,,2016-02-12T16:15:37.527Z,21.08,69.87
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:15:48.574Z,20.69,
,,2016-02-12T16:15:48.643Z,21.05,70.12
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:16:01.045Z,20.81,
,,2016-02-12T16:16:01.115Z,21.09,69.96
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:16:12.161Z,20.69,
,,2016-02-12T16:16:12.235Z,21.04,69.96
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:16:24.633Z,20.81,
,,2016-02-12T16:16:24.703Z,21.09,69.88
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:16:35.753Z,20.69,
,,2016-02-12T16:16:35.822Z,21.05,69.79
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:16:48.224Z,20.87,
,,2016-02-12T16:16:48.294Z,21.10,69.79
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:16:59.341Z,20.69,
,,2016-02-12T16:16:59.410Z,21.05,69.73
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:17:11.812Z,20.87,
,,2016-02-12T16:17:11.882Z,21.09,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:17:22.932Z,20.69,
,,2016-02-12T16:17:23.002Z,21.06,69.65
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:17:35.404Z,20.87,
,,2016-02-12T16:17:35.473Z,21.09,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:17:46.520Z,20.69,
,,2016-02-12T16:17:46.589Z,21.05,69.62
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:17:58.992Z,20.87,
,,2016-02-12T16:17:59.061Z,21.11,69.60
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:18:10.112Z,20.69,
,,2016-02-12T16:18:10.181Z,21.06,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:18:22.579Z,20.87,
,,2016-02-12T16:18:22.649Z,21.08,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:18:33.699Z,20.69,
,,2016-02-12T16:18:33.769Z,21.05,69.62
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:18:46.171Z,20.87,
,,2016-02-12T16:18:46.240Z,21.10,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:18:57.287Z,20.69,
,,2016-02-12T16:18:57.356Z,21.05,69.59
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:19:09.758Z,20.87,
,,2016-02-12T16:19:09.828Z,21.09,69.60
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:19:20.879Z,20.69,
,,2016-02-12T16:19:20.948Z,21.06,69.65
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:19:33.350Z,20.81,
,,2016-02-12T16:19:33.420Z,21.10,69.62
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:19:44.466Z,20.69,
,,2016-02-12T16:19:44.536Z,21.05,69.65
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:19:56.938Z,20.87,
,,2016-02-12T16:19:57.007Z,21.08,69.65
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:20:08.058Z,20.69,
,,2016-02-12T16:20:08.127Z,21.04,69.64
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:20:20.526Z,20.87,
,,2016-02-12T16:20:20.595Z,21.08,69.68
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:20:31.646Z,20.69,
,,2016-02-12T16:20:31.715Z,21.04,69.64
DS18B20,28 FF 40 F6 64 15 2 4D,2016-02-12T16:20:44.117Z,20.81,
,,2016-02-12T16:20:44.187Z,21.07,69.59
DS18B20,28 FF 91 F3 64 15 2 5F,2016-02-12T16:20:55.233Z,20.69,
,,2016-02-12T16:20:55.303Z,21.02,69.73
